아파트명,구,동,준공년도,전용면적(㎡),실거래가(만원),층수,계약일
개포2차현대아파트(220),강남구,개포동,1988,77,182000,6,2023-09-13
개포6차우성아파트1동~8동,강남구,개포동,1987,79,205000,5,2023-07-26
개포6차우성아파트1동~8동,강남구,개포동,1987,79,219000,3,2023-10-04
개포더샵트리에,강남구,개포동,2021,105,240000,8,2023-06-29
개포더샵트리에,강남구,개포동,2021,105,225000,2,2023-09-26
개포더샵트리에,강남구,개포동,2021,108,245000,10,2023-08-15
개포더샵트리에,강남구,개포동,2021,108,220000,7,2023-11-22
개포래미안포레스트,강남구,개포동,2020,49,145000,14,2023-02-22
개포래미안포레스트,강남구,개포동,2020,49,154000,7,2023-06-08
개포래미안포레스트,강남구,개포동,2020,49,160000,8,2023-06-13
개포래미안포레스트,강남구,개포동,2020,49,150000,10,2023-06-19
개포래미안포레스트,강남구,개포동,2020,49,161000,14,2023-06-30
개포래미안포레스트,강남구,개포동,2020,49,170000,12,2023-09-21
개포래미안포레스트,강남구,개포동,2020,59,158000,13,2023-01-05
개포래미안포레스트,강남구,개포동,2020,59,166000,13,2023-01-14
개포래미안포레스트,강남구,개포동,2020,59,167000,12,2023-01-20
개포래미안포레스트,강남구,개포동,2020,59,169000,10,2023-02-21
개포래미안포레스트,강남구,개포동,2020,59,169000,14,2023-02-21
개포래미안포레스트,강남구,개포동,2020,59,170000,4,2023-03-12
개포래미안포레스트,강남구,개포동,2020,59,130000,14,2023-03-15
개포래미안포레스트,강남구,개포동,2020,59,172000,9,2023-03-18
개포래미안포레스트,강남구,개포동,2020,59,173000,16,2023-03-23
개포래미안포레스트,강남구,개포동,2020,59,169000,5,2023-03-28
개포래미안포레스트,강남구,개포동,2020,59,173000,17,2023-03-31
개포래미안포레스트,강남구,개포동,2020,59,170000,12,2023-04-08
개포래미안포레스트,강남구,개포동,2020,59,173000,12,2023-05-08
개포래미안포레스트,강남구,개포동,2020,59,174000,10,2023-05-10
개포래미안포레스트,강남구,개포동,2020,59,174000,13,2023-05-10
개포래미안포레스트,강남구,개포동,2020,59,175000,10,2023-05-20
개포래미안포레스트,강남구,개포동,2020,59,179500,5,2023-05-25
개포래미안포레스트,강남구,개포동,2020,59,176500,6,2023-05-26
개포래미안포레스트,강남구,개포동,2020,59,179000,12,2023-05-27
개포래미안포레스트,강남구,개포동,2020,59,181500,17,2023-05-30
개포래미안포레스트,강남구,개포동,2020,59,184000,7,2023-06-14
개포래미안포레스트,강남구,개포동,2020,59,183000,16,2023-06-19
개포래미안포레스트,강남구,개포동,2020,59,185000,6,2023-06-21
개포래미안포레스트,강남구,개포동,2020,59,187000,5,2023-07-05
개포래미안포레스트,강남구,개포동,2020,59,189500,6,2023-07-13
개포래미안포레스트,강남구,개포동,2020,59,182000,7,2023-07-27
