아파트명,구,동
개포2차현대아파트(220),강남구,개포동
개포6차우성아파트1동~8동,강남구,개포동
개포더샵트리에,강남구,개포동
개포래미안포레스트,강남구,개포동
개포우성3차,강남구,개포동
개포자이,강남구,개포동
개포자이르네,강남구,개포동
개포자이프레지던스,강남구,개포동
개포주공1단지,강남구,개포동
개포주공5단지,강남구,개포동
개포주공6단지,강남구,개포동
개포주공7단지,강남구,개포동
개포현대200동,강남구,개포동
개포현대6차,강남구,개포동
경남1,강남구,개포동
경남2차,강남구,개포동
그린빌리지,강남구,개포동
뉴현대파크빌,강남구,개포동
대치푸르지오발라드,강남구,개포동
디에이치아너힐즈,강남구,개포동
디에이치퍼스티어아이파크,강남구,개포동
래미안블레스티지,강남구,개포동
리더스,강남구,개포동
리치타운,강남구,개포동
삼익대청아파트,강남구,개포동
상지리츠빌,강남구,개포동
새롬(1164-12),강남구,개포동
새롬(1164-13),강남구,개포동
새롬(1164-14),강남구,개포동
성원대치2단지아파트,강남구,개포동
아람손프라자/비바빌,강남구,개포동
에버그린,강남구,개포동
우성8,강남구,개포동
"우성9차아파트901동,902동",강남구,개포동
우찬현대(1260-11),강남구,개포동
우찬현대(1260-2),강남구,개포동
우찬현대(1260-4),강남구,개포동
포이벨리,강남구,개포동
포이현대빌라트,강남구,개포동
한림,강남구,개포동
현대,강남구,개포동
현대1차101동~106동,강남구,개포동
현대2,강남구,개포동
현대아파트3,강남구,개포동
e-편한세상,강남구,논현동
거평프리젠,강남구,논현동
경남논현,강남구,논현동
그랑디오스,강남구,논현동
네오빌,강남구,논현동
논현동월드메르디앙,강남구,논현동
논현동프라임,강남구,논현동
논현동한화꿈에그린,강남구,논현동
논현라폴리움,강남구,논현동
논현베르빌,강남구,논현동
논현빌라트,강남구,논현동
논현아이파크,강남구,논현동
논현아트빌,강남구,논현동
논현웰스톤,강남구,논현동
논현파라곤,강남구,논현동
논현프라임아파트,강남구,논현동
논현한가람빌라트,강남구,논현동
더그레이스,강남구,논현동
더원센트럴,강남구,논현동
동부센트레빌,강남구,논현동
동양파라곤,강남구,논현동
동현아파트1~6,강남구,논현동
두산위브1단지,강남구,논현동
두산위브2단지,강남구,논현동
두영,강남구,논현동
라이헤스빌,강남구,논현동
로체샤르캐슬,강남구,논현동
마블하우스,강남구,논현동
마일스디오빌,강남구,논현동
벨러스빌,강남구,논현동
브라운스톤,강남구,논현동
브라이튼N40,강남구,논현동
비쥬힐,강남구,논현동
세호시티라이프,강남구,논현동
스위트캐슬레지던스,강남구,논현동
신동아,강남구,논현동
신동아(22),강남구,논현동
쌍용,강남구,논현동
아츠논현,강남구,논현동
아크로힐스논현,강남구,논현동
애플타운,강남구,논현동
요진보네르,강남구,논현동
우민,강남구,논현동
우성,강남구,논현동
월드쉐르빌,강남구,논현동
은탑리더스카운티,강남구,논현동
이산,강남구,논현동
제이빌,강남구,논현동
지고하임(101동),강남구,논현동
지고하임(102동),강남구,논현동
"청학아파트에이동,비동,씨동",강남구,논현동
케이씨빌,강남구,논현동
테크노빌라트,강남구,논현동
펜트힐루논현,강남구,논현동
펜트힐캐스케이드,강남구,논현동
학동,강남구,논현동
한양빌라트,강남구,논현동
한양수자인어반게이트,강남구,논현동
한진로즈힐,강남구,논현동
한화꿈에그린2차,강남구,논현동
현대넥서스A동,강남구,논현동
현대넥서스B동,강남구,논현동
현대인텔렉스,강남구,논현동
힐스빌7,강남구,논현동
힐타워,강남구,논현동
개포우성1,강남구,대치동
개포우성2,강남구,대치동
노빌리티빌리지,강남구,대치동
대우아이빌멤버스(891-26),강남구,대치동
대우아이빌명문가(891-23),강남구,대치동
대치SKVIEW,강남구,대치동
대치더클래스,강남구,대치동
대치동우정에쉐르1,강남구,대치동
대치동우정에쉐르2(890-42),강남구,대치동
대치르엘,강남구,대치동
대치삼성,강남구,대치동
대치아이파크,강남구,대치동
"대치우성아파트1동,2동,3동,5동,6동,7동",강남구,대치동
대치타워,강남구,대치동
대치푸르지오써밋,강남구,대치동
대치한신휴플러스,강남구,대치동
대치현대,강남구,대치동
대치효성,강남구,대치동
동민맥스빌A동,강남구,대치동
동민맥스빌B동,강남구,대치동
동부센트레빌,강남구,대치동
동양,강남구,대치동
래미안대치팰리스,강남구,대치동
래미안대치하이스턴,강남구,대치동
롯데캐슬,강남구,대치동
롯데캐슬리베,강남구,대치동
메트로,강남구,대치동
삼성3차,강남구,대치동
삼환SOGOOD,강남구,대치동
상지리츠빌카일룸(1009-4),강남구,대치동
선경1차(1동-7동),강남구,대치동
선경2차(8동-12동),강남구,대치동
선경3차,강남구,대치동
선릉역대우아이빌(890-49),강남구,대치동
선릉역풍림아이원레몬,강남구,대치동
세연파크뷰,강남구,대치동
세영팔레스타운,강남구,대치동
신성미소시티,강남구,대치동
쌍용대치2,강남구,대치동
"쌍용대치아파트1동,2동,3동,5동,6동",강남구,대치동
아름빌(889-74),강남구,대치동
우정에쉐르,강남구,대치동
은마,강남구,대치동
청암빌라트,강남구,대치동
청원,강남구,대치동
테헤란로대우아이빌(891-6),강남구,대치동
포스코더샵,강남구,대치동
풍림아이원2차202동,강남구,대치동
풍림아이원3차(1007-1),강남구,대치동
풍림아이원4차(1007-2),강남구,대치동
풍림아이원아파트,강남구,대치동
하이캐슬,강남구,대치동
하이캐슬102동,강남구,대치동
한보미도맨션1,강남구,대치동
한보미도맨션2,강남구,대치동
한티(933-0),강남구,대치동
현대1,강남구,대치동
현대썬앤빌테헤란,강남구,대치동
PLUMHILLS,강남구,도곡동
SK허브프리모,강남구,도곡동
경남,강남구,도곡동
그랜빌캐슬,강남구,도곡동
대림,강남구,도곡동
대림아크로빌,강남구,도곡동
대명비발디,강남구,도곡동
대우디오빌,강남구,도곡동
도곡1차아이파크,강남구,도곡동
도곡2차I'PARK,강남구,도곡동
도곡3차아이파크,강남구,도곡동
도곡그린빌,강남구,도곡동
도곡더써밋타워,강남구,도곡동
도곡렉슬,강남구,도곡동
도곡루아르,강남구,도곡동
도곡스타빌,강남구,도곡동
